address,entity,tx_received,etherreceived
0xb6aac3b56ff818496b747ea57fcbe42a9aae6218,QuadrigaCX 2,250509,1288988.014416254
0x0ee4e2d09aec35bdf08083b649033ac0a41aa75e,QuadrigaCX 3,4399,789103.639522985
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,CoinDash: Token Sale,3,30488
0x027beefcbad782faf69fad12dee97ed894c68549,QuadrigaCX 1,14273,1653722.273005365
0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,355772,521.268472237
0x84f4bcc4e841afdfde7899662f8bbd7d6a71c112,Compromised: Upbit Hack Funds,554,45641.100418764
0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,300597,524807.90811368
0xb3aaaae47070264f3595c5032ee94b620a583a39,WEX Exchange,114169,1372360.381232956
