address,entity,tx_sent,ethersent,tx_fee
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,ShapeShift 1,23058,4459216.211996627,132.6866229930471
0xb36efd48c9912bd9fd58b67b65f7438f6364a256,ShapeShift: Binance Deposit,2659,242280.2738,6.322576648138341
0xda1e5d4cc9873963f788562354b55a772253b92f,ShapeShift: Bitfinex Deposit,4575,1123207.141750093,14.874319833609945
0xe9319eba87af7c2fc1f55ccde9d10ea8efbd592d,ShapeShift: Bittrex Deposit,2080,330261.74,11.000446933290144
0xd3273eba07248020bf98a8b560ec1576a612102f,ShapeShift 5,1769,668596.605220879,6.532699975863882
0xc770eefad204b5180df6a14ee197d99d808ee52d,ShapeShift: FOX Token,4830,0,12.97382253149605
0xe8ed915e208b28c617d20f3f8ca8e11455933adf,ShapeShift: Poloniex Deposit,3289,518166.7055,9.080078403262831
0x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,ShapeShift 3,1972930,7110699.578118682,1534.2915139232707
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,ShapeShift 6,1810,681352.878901878,6.7472475188284164
0x563b377a956c80d77a7c613a9343699ad6123911,ShapeShift 4,2014,755838.092776095,6.861989476466967
0xeed16856d551569d134530ee3967ec79995e2051,ShapeShift 7,2100,763914.727915417,7.226026892233271
0x9e6316f44baeeee5d41a1070516cc5fa47baf227,ShapeShift 2,40975,1926712.74602567,19.19143683530638
