Address,Entity,Balance,Total_tx
0x6b59210ade46b62b25e82e95ab390a7ccadd4c3a,Bitberry,0.015523 Ether,"140,891"
0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,Cobo,4.43241638 Ether,"123,515"
0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,Cryptonator,233.12374688 Ether,"1,241,411"
0x7ed1e469fcb3ee19c0366d829e291451be638e59,Freewallet,14.32587766 Ether,"1,050,376"
0x28c9386ebab8d52ead4a327e6423316435b2d4fc,RenrenBit,"5,485.7243692 Ether","1,864"
0x46c635b772115ad2c3df7abe0d35eb908abad4b8,Streamity: STM Wallet App,0.07037665 Ether,"1,648"
0x6e8d7d12c3f0a9285981b8998ce7cf0cf0bce78e,ZixiPay,13.66790832 Ether,"4,324"
