Address,Entity,Balance,Total_tx
0x9a2d163ab40f88c625fd475e807bbc3556566f80,SingularX,"1,494.36927437 Ether","155,387"
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,0.33520876 Ether,"111,916"
0x7ee7ca6e75de79e618e88bdf80d0b1db136b22d0,Switcheo Exchange V2,"1,460.32832478 Ether","165,903"
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,3.246331 Ether,"2,146"
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,Token.Store,805.57582143 Ether,"712,018"
0x5e150a33ffa97a8d22f59c77ae5487b089ef62e9,TokenJar,0 Ether,0
0xdc6c91b569c98f9f6f74d90f9beff99fdaf4248b,Tokenlon,0 Ether,"473,758"
0x77208a6000691e440026bed1b178ef4661d37426,Totle: Primary,0.008 Ether,"3,366"
0xbd2a43799b83d9d0ff56b85d4c140bce3d1d1c6c,UniswapEX,3.455 Ether,"2,907"
0xd97d09f3bd931a14382ac60f156c1285a56bb51b,WeDEX: Beta 2,84.43044344 Ether,"142,264"
